wing_sec_25
 1.000000 0.008511
 0.998957 0.008665
 0.995833 0.009126
 0.990641 0.009889
 0.983400 0.010949
 0.974141 0.012297
 0.962901 0.013923
 0.949725 0.015815
 0.934666 0.017959
 0.917786 0.020341
 0.899153 0.022947
 0.878844 0.025760
 0.856940 0.028764
 0.833532 0.031943
 0.808715 0.035279
 0.782591 0.038756
 0.755266 0.042353
 0.726852 0.046051
 0.697466 0.049827
 0.667215 0.053576
 0.636217 0.057204
 0.604598 0.060675
 0.572485 0.063948
 0.540012 0.066984
 0.507311 0.069745
 0.474517 0.072191
 0.441766 0.074284
 0.409196 0.075986
 0.376942 0.077238
 0.345140 0.077967
 0.313931 0.078144
 0.283452 0.077751
 0.253840 0.076773
 0.225230 0.075203
 0.197754 0.073041
 0.171543 0.070292
 0.146724 0.066972
 0.123421 0.063099
 0.101754 0.058700
 0.081843 0.053807
 0.063807 0.048454
 0.047767 0.042681
 0.033852 0.036537
 0.022210 0.030084
 0.013002 0.023435
 0.006385 0.016819
 0.002374 0.010699
 0.000562 0.005774
 0.000054 0.002657
 0.000000 0.001604
 0.000002 0.000554
 0.000322 -0.002578
 0.001913 -0.007562
 0.005852 -0.013702
 0.012617 -0.020124
 0.022118 -0.026281
 0.034109 -0.031963
 0.048372 -0.037110
 0.064732 -0.041709
 0.083044 -0.045762
 0.103180 -0.049271
 0.125018 -0.052241
 0.148440 -0.054679
 0.173328 -0.056596
 0.199563 -0.058007
 0.227021 -0.058931
 0.255581 -0.059394
 0.285117 -0.059424
 0.315501 -0.059054
 0.346604 -0.058323
 0.378296 -0.057269
 0.410446 -0.055931
 0.442918 -0.054303
 0.475578 -0.052401
 0.508290 -0.050265
 0.540922 -0.047933
 0.573339 -0.045440
 0.605409 -0.042820
 0.637003 -0.040106
 0.667991 -0.037328
 0.698246 -0.034514
 0.727641 -0.031628
 0.756047 -0.028630
 0.783348 -0.025557
 0.809435 -0.022445
 0.834202 -0.019333
 0.857549 -0.016256
 0.879383 -0.013252
 0.899616 -0.010358
 0.918169 -0.007609
 0.934968 -0.005040
 0.949947 -0.002685
 0.963048 -0.000575
 0.974219 0.001263
 0.983418 0.002804
 0.990610 0.004025
 0.995767 0.004910
 0.998869 0.005446
 0.999904 0.005625
